,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Category,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
84,Ermitage Ex-Voto Blanc 2012,E. Guigal,Ermitage Ex-Voto Blanc,2012,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.3,79,197.0,2.3978307,,3.6886482,2.2475028,
85,Vaucluse Blanc 2016,Domaine Gourt de Mautens,Vaucluse Blanc,2016,France,Rasteau,southern-rhone-white,White,White,Marsanne,24,4.3,42,160.0,3.139681,,3.7189314,1.8674163,
86,Hermitage Les Miaux Blanc 2018,Ferraton Père & Fils,Hermitage Les Miaux Blanc,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.3,32,58.0,2.3492887,,3.5665274,1.762134,
87,Fleur de Crussol Saint-Péray 2021,Alain Voge,Fleur de Crussol Saint-Péray,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,0.0,14,36.0,3.4878945,,2.4320216,2.887502,
88,Dolia Blanc 2017,Hauvette,Dolia Blanc,2017,France,Alpilles,french-mediterranee-white,White,White,Marsanne,24,0.0,24,52.9,3.177534,,3.0146184,2.1774366,
89,Vaucluse Blanc 2019,Domaine Gourt de Mautens,Vaucluse Blanc,2019,France,Rasteau,southern-rhone-white,White,White,Marsanne,24,0.0,1,86.5,3.139681,,3.7189314,1.8674163,
90,Saint-Joseph Clef de Sol 2022,Jolivet,Saint-Joseph Clef de Sol,2022,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,0.0,1,27.9,2.451972,,3.6903758,1.9810328,
92,Hermitage Blanc 1993,Domaine Belle,Hermitage Blanc,1993,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,0,53.0,2.1221888,,3.658868,2.2927547,
93,Cassis Blanc 2022,Clos Sainte Magdeleine,Cassis Blanc,2022,France,Cassis,french-provence-white,White,White,Marsanne,24,4.2,80,27.3,3.2875373,,3.0374553,1.8161076,
94,Haut Chamblard Saint-Péray 2021,M. Chapoutier,Haut Chamblard Saint-Péray,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.2,78,44.16,3.5357409,,1.945,2.9694445,
95,Vaucluse Blanc 2015,Domaine Gourt de Mautens,Vaucluse Blanc,2015,France,Rasteau,southern-rhone-white,White,White,Marsanne,24,4.2,77,85.0,3.139681,,3.7189314,1.8674163,
96,Hermitage Le Chevalier de Sterimberg 2019,Domaine de La Chapelle,Hermitage Le Chevalier de Sterimberg,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.2,73,64.8,2.4163377,,3.4242923,2.1279578,
97,Fleur de Crussol Saint-Péray 2019,Alain Voge,Fleur de Crussol Saint-Péray,2019,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.2,68,42.5,3.4878945,,2.4320216,2.887502,
98,Hermitage Blanc 2017,Tardieu-Laurent,Hermitage Blanc,2017,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.2,49,76.0,2.2931337,,3.7067015,2.115502,
99,Chante-Alouette Hermitage Blanc 2020,M. Chapoutier,Chante-Alouette Hermitage Blanc,2020,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.2,44,58.1,2.3794155,,3.4900987,2.196142,
100,Hermitage Les Miaux Blanc 2016,Ferraton Père & Fils,Hermitage Les Miaux Blanc,2016,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.2,32,58.0,2.3492887,,3.5665274,1.762134,
101,Selection Hermitage Blanche 2019,Domaine Jean-Louis Chave,Selection Hermitage Blanche,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.2,26,531.9,2.3906374,,3.5087996,2.141476,
102,Les Figuiers Saint-Péray 2021,Bernard Gripa,Les Figuiers Saint-Péray,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,0.0,23,31.0,3.4434514,,2.3273766,2.762893,
103,Blanc 2017,Le Soula,Blanc,2017,France,Côtes Catalanes,languedoc-roussillon-white,White,White,Marsanne,24,0.0,16,28.0,2.948827,,3.2040844,1.7380406,
104,Ro-Rée Saint-Joseph Blanc 2022,Louis Chèze,Ro-Rée Saint-Joseph Blanc,2022,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,0.0,8,24.95,2.3058097,,3.6225312,2.3344674,
105,Hermitage Les Miaux Blanc 2021,Ferraton Père & Fils,Hermitage Les Miaux Blanc,2021,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,9,63.2,2.3492887,,3.5665274,1.762134,
106,Fontaine du Sud Côtes du Rhône 2022,Château de Gourdon,Fontaine du Sud Côtes du Rhône,2022,France,Côtes-du-Rhône,southern-rhone-white,White,White,Marsanne,24,0.0,1,14.496666666666666,3.3537145,,3.56,1.2522143,
107,La Rage Crozes-Hermitage 2022,Domaine Les 4 Vents,La Rage Crozes-Hermitage,2022,France,Crozes-Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,0,24.0,2.3914843,,3.4305468,1.8155469,
108,La Rage Crozes-Hermitage 2021,Domaine Les 4 Vents,La Rage Crozes-Hermitage,2021,France,Crozes-Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,3,26.15,2.3914843,,3.4305468,1.8155469,
109,Alpilles Blanc 2014,Domaine de Trévallon,Alpilles Blanc,2014,France,Alpilles,french-mediterranee-white,White,White,Marsanne,24,4.1,185,179.0,3.21547,,3.018791,2.2275333,
110,Commanderie Saint Pierre la Garrigue La Clape Cru D'Exception 2019,Château de Marmorières,Commanderie Saint Pierre la Garrigue La Clape Cru D'Exception,2019,France,La Clape,languedoc-roussillon-white,White,White,Marsanne,24,0.0,11,33.0,2.8129861,,3.5689583,1.2013888,
111,Saint-Joseph Lyseras 2021,Yves Cuilleron,Saint-Joseph Lyseras,2021,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,4.1,149,24.15,2.5497093,,3.4075043,2.1438205,
112,La Croix de l'Eremita 2020,Jeantet Laurent,La Croix de l'Eremita,2020,France,Crozes-Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,23,19.95,2.1512122,,3.302222,2.1151514,
113,Côtes du Rhône Blanc 2020,Domaine Jamet,Côtes du Rhône Blanc,2020,France,Côtes-du-Rhône,southern-rhone-white,White,White,Marsanne,24,4.1,119,33.6,3.2527697,,3.3447719,1.6298858,
114,Saint-Joseph Blanc 2021,Domaine Courbis,Saint-Joseph Blanc,2021,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,4.1,87,31.32,2.2432227,,3.3918045,1.8873298,
115,Clara Côtes du Rhône Villages Gadagne 2019,Domaine des Pentelines,Clara Côtes du Rhône Villages Gadagne,2019,France,Côtes-du-Rhône-Villages,southern-rhone-white,White,White,Marsanne,24,0.0,7,11.2,2.8706977,,3.3739536,1.1065117,
116,Les Figuiers Saint-Péray 2020,Bernard Gripa,Les Figuiers Saint-Péray,2020,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.1,77,27.6,3.4434514,,2.3273766,2.762893,
117,Délicato Blanc 2022,Mas Edem,Délicato Blanc,2022,France,Rhone Valley,southern-rhone-white,White,White,Marsanne,24,0.0,3,10.5,3.0,,3.5,1.0,
118,Les Prémices Vacqueyras 2019,Roucas Toumba,Les Prémices Vacqueyras,2019,France,Vacqueyras,southern-rhone-white,White,White,Marsanne,24,4.1,55,21.5,2.6805537,,3.4811077,1.4528012,
119,Blancaneaux 2020,Inglenook,Blancaneaux,2020,United States,Rutherford,californian-white-blend,White Blend,White,Marsanne,24,4.1,54,81.55,2.481159,,3.8014143,2.266891,
120,Villa Lucia Blanc 2021,Cailhol Gautran,Villa Lucia Blanc,2021,France,Minervois,languedoc-roussillon-white,White,White,Marsanne,24,0.0,8,16.4,2.892439,,3.5885367,1.9558537,
121,Saint Péray Le Tram 2021,Domaine Courbis,Saint Péray Le Tram,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.1,49,21.0,2.8474998,,2.6522882,2.6190677,
122,Saint-Drézéry Tête de Bélier Blanc 2021,Château Puech-Haut,Saint-Drézéry Tête de Bélier Blanc,2021,France,Saint-Drézéry,languedoc-roussillon-white,White,White,Marsanne,24,4.1,41,32.9,2.9990847,,3.3984804,1.9872962,
123,Saint Peray Version 2021,Francois Villard,Saint Peray Version,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.1,37,23.9,3.554702,,2.301029,2.8561642,
124,Saint-Joseph Les Granilites Blanc 2019,M. Chapoutier,Saint-Joseph Les Granilites Blanc,2019,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,4.1,35,35.0,2.5251482,,3.5413287,1.8566785,
125,Les Hauts d'Eole Crozes-Hermitage Blanc 2019,Cave de Tain,Les Hauts d'Eole Crozes-Hermitage Blanc,2019,France,Crozes-Hermitage,northern-rhone-white,White,White,Marsanne,24,4.1,34,18.8,2.333902,,3.5988553,1.8001635,
126,Les Maisons de Victor Saint-Péray 2021,Julien Pilon,Les Maisons de Victor Saint-Péray,2021,France,Saint-Péray,northern-rhone-saint-peray,Saint-Péray,White,Marsanne,24,4.1,34,22.0,3.4709444,,2.238741,2.8377724,
127,La Boda Blanc 2021,Domaine d'Aupilhac,La Boda Blanc,2021,France,Languedoc-Roussillon,languedoc-roussillon-white,White,White,Marsanne,24,0.0,5,35.6,2.971791,,3.2485073,1.4925373,
128,La Boda Blanc 2020,Domaine d'Aupilhac,La Boda Blanc,2020,France,Languedoc-Roussillon,languedoc-roussillon-white,White,White,Marsanne,24,0.0,5,31.3,2.971791,,3.2485073,1.4925373,
