,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Type_ID,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
58,Kayli Morgan Vineyard Cabernet Sauvignon 2018,Hundred Acre,Kayli Morgan Vineyard Cabernet Sauvignon,2018,United States,Napa Valley,napa-valley-cabernet-sauvignon,Cabernet Sauvignon,1,Cabernet Sauvignon,2,4.8,66,810.9,3.3004975,,4.768042,1.7733175,3.3316464
59,Gian Annibale 2018,Castello del Terriccio,Gian Annibale,2018,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.8,26,528.87,3.0368984,,3.7870886,1.9201266,3.34019
60,Tignanello 2018,Antinori,Tignanello,2018,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,8451,320.25,3.083691,,3.418301,1.722995,2.9890265
61,El Nido 2021,Bodegas El Nido,El Nido,2021,Spain,Jumilla,spanish-red,Red,1,Cabernet Sauvignon,2,0.0,1,173.35,2.990429,,4.186637,2.0934095,3.0134974
62,Sassicaia 2016,Tenuta San Guido,Sassicaia,2016,Italy,Bolgheri Sassicaia,italian-bolgheri,Bolgheri,1,Cabernet Sauvignon,2,4.7,5438,823.98,3.4874673,,3.7830396,1.7051258,3.878292
63,Sassicaia 2006,Tenuta San Guido,Sassicaia,2006,Italy,Bolgheri Sassicaia,italian-bolgheri,Bolgheri,1,Cabernet Sauvignon,2,4.7,3537,1372.5,3.4874673,,3.7830396,1.7051258,3.878292
64,Pauillac (Grand Cru Classé) 2009,Château Pontet-Canet,Pauillac (Grand Cru Classé),2009,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,3499,304.0,4.197873,,4.218089,1.6728092,4.2265296
65,Pauillac (Premier Grand Cru Classé) 2001,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2001,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,2906,655.0,4.0900707,,4.0577865,1.7132971,4.1127405
66,Pauillac (Premier Grand Cru Classé) 2005,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2005,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,2646,1059.5,4.0900707,,4.0577865,1.7132971,4.1127405
67,Château Margaux (Premier Grand Cru Classé) 2004,Château Margaux,Château Margaux (Premier Grand Cru Classé),2004,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,2611,680.0,4.1657367,,3.673643,1.6061885,3.8240721
68,Tenuta Tignanello 'Solaia' 2015,Antinori,Tenuta Tignanello 'Solaia',2015,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,2567,633.6,3.0648935,,3.4553576,1.8906335,2.9718184
